en,ceb
For this is the message you heard from the beginning: We should love one another.,"Kay ang balita nga inyong nadungog sukad sa sinugdan mao nga kinahanglang maghigugmaay kita sa usa ug usa,"
"Do not be surprised, my brothers and sisters, if the world hates you.","Ayaw kamo kahibulong, mga igsoon, kon ang kalibotan nagdumot kaninyo."
This is how we know that we belong to the truth and how we set our hearts at rest in his presence:,Pinaagi niini kita mahibalo nga kita iya sa kamatuoran ug makapasalig sa atong mga kasingkasing diha sa iyang atubangan
"Dear friends, if our hearts do not condemn us, we have confidence before God","Mga hinigugma, kon ang atong mga kasingkasing dili magsudya kanato, may pagsalig kita diha sa atubangan sa Dios,"
"Whoever does not love does not know God, because God is love.",Ang wala mahigugma wala makaila sa Dios kay ang Dios gugma.
"Dear friends, since God so loved us, we also ought to love one another.","Mga hinigugma, kon ang Dios nahigugma gayod kanato, kinahanglan nga kita usab maghigugmaay sa usa ug usa."
And we have seen and testify that the Father has sent his Son to be the Savior of the world.,"Ug kita nakakita ug nagpamatuod nga ang Amahan nagpadala sa iyang Anak, ingon nga Manluluwas sa kalibotan."
"If anyone acknowledges that Jesus is the Son of God, God lives in them and they in God.","Si bisan kinsa nga magsugid nga si Jesus mao ang Anak sa Dios, ang Dios magpabilin diha kaniya, ug siya diha sa Dios."
We love because he first loved us.,Kita nahigugma tungod kay siya una mang nahigugma kanato.
And he has given us this command: Anyone who loves God must also love their brother and sister.,"Ug gikan kaniya nabatonan nato kining maong sugo, nga ang nahigugma sa Dios kinahanglan nga mahigugma usab sa iyang igsoon."
Who is it that overcomes the world? Only the one who believes that Jesus is the Son of God.,Kinsa ba ang magbuntog sa kalibotan kondili siya lamang nga nagtuo nga si Jesus mao ang Anak sa Dios?
For there are three that testify:,"Ang Espiritu mao ang nagpamatuod niini, kay ang Espiritu mao ang kamatuoran."
"the Spirit, the water and the blood; and the three are in agreement.","Kay tulo man ang nagpamatuod niini, ang Espiritu, ang tubig ug ang dugo, ug kini silang tulo nagkauyon."
"And this is the testimony: God has given us eternal life, and this life is in his Son.","Ug ang pagpamatuod mao kini, nga ang Dios naghatag kanato sa kinabuhing dayon, ug kining kinabuhia anaa sa iyang Anak."
Whoever has the Son has life; whoever does not have the Son of God does not have life.,"Ang nakabaton sa Anak may kinabuhi, apan ang wala makabaton sa Anak sa Dios walay kinabuhi."
"All wrongdoing is sin, and there is sin that does not lead to death.","Ang tanang pagkadili matarong sala, apan adunay sala nga dili makamatay."
"We know that we are children of God, and that the whole world is under the control of the evil one.",Kita nasayod nga kita iya sa Dios ug ang tibuok kalibotan anaa sa daotan.
"Dear children, keep yourselves from idols.","Mga anak, likayi ninyo ang mga diosdios."
"for you are receiving the end result of your faith, the salvation of your souls.","Ingon nga sangpotanan sa inyong pagsalig, kamo nakabaton sa kaluwasan sa inyong mga kalag."
"But just as he who called you is holy, so be holy in all you do;","Apan ingon nga siya nga nagtawag kaninyo balaan, kinahanglang kamo usab magbalaan sa tanan ninyong paggawi,"
"for it is written: “Be holy, because I am holy.”","kay nasulat man, “Kinahanglan nga kamo magbalaan, kay ako balaan man.”"
"but with the precious blood of Christ, a lamb without blemish or defect.","kondili pinaagi sa bililhong dugo ni Cristo, sama sa dugo sa nating karnero nga walay buling o mansa."
but the word of the Lord endures forever.” And this is the word that was preached to you.,apan ang pulong sa Ginoo magpadayon hangtod sa kahangtoran.” Kining pulonga mao ang Maayong Balita nga gisangyaw diha kaninyo.
now that you have tasted that the Lord is good.,kay natilawan man ninyo ang kaayo sa Ginoo.
"Submit yourselves for the Lord’s sake to every human authority: whether to the emperor, as the supreme authority,","Tungod ug alang sa Ginoo, magpailalom unta kamo sa tanang tawhanong pagbuot, sa hari ingon nga maoy labaw sa tanan,"
"Show proper respect to everyone, love the family of believers, fear God, honor the emperor.",Tahora ninyo ang tanang tawo. Higugmaa ninyo ang kaigsoonan. Kahadloki ninyo ang Dios. Tahora ninyo ang hari.
"“He committed no sin, and no deceit was found in his mouth.”","Siya walay sala nga nahimo, walay nakit-ang limbong diha sa iyang baba."
when they see the purity and reverence of your lives.,sa diha nga makita nila ang inyong matinahoron ug putli nga gawi.
They must turn from evil and do good; they must seek peace and pursue it.,"Pabiyai niya ang daotan ug ipabuhat kaniya ang maayo, ipapangita kaniya ang kalinaw ug ipakab-ot kini."
Who is going to harm you if you are eager to do good?,Kinsa may makahimo ug kadaot kaninyo kon magmainiton kamo sa pagbuhat sa maayo?
"After being made alive, he went and made proclamation to the imprisoned spirits—","Ug niini siya miadto ug nagwali ngadto sa mga espiritu nga gibilanggo,"
But they will have to give account to him who is ready to judge the living and the dead.,Apan kini sila maghatag ra unya ug husay ngadto kaniya nga andam sa paghukom sa mga buhi ug sa mga patay.
"Above all, love each other deeply, because love covers over a multitude of sins.","Labaw sa tanan, pagmainiton kamo kanunay sa inyong gugma sa usa ug usa, kay ang gugma magtabon man sa daghang mga sala."
Offer hospitality to one another without grumbling.,Batasana ninyo ang pag-abiabi sa usa ug usa sa walay pagbagulbol.
"not lording it over those entrusted to you, but being examples to the flock.",dili sa pagharihari kanila nga gipiyal kaninyo kondili ingon nga mga panag-ingnan sa panon.
"And when the Chief Shepherd appears, you will receive the crown of glory that will never fade away.","Ug inigpadayag unya sa pangulong Magbalantay, kamo makadawat unya sa mahimayaong purongpurong nga dili malawos."
"Humble yourselves, therefore, under God’s mighty hand, that he may lift you up in due time.","Busa pagpaubos kamo ilalom sa gamhanang kamot sa Dios, aron kamo iyang ituboy unya sa gitakda nga panahon."
Cast all your anxiety on him because he cares for you.,"Itugyan ngadto kaniya ang inyong tanang kabalaka, kay siya nag-atiman man kaninyo."
To him be the power for ever and ever. Amen.,Iya ang paggahom hangtod sa kahangtoran. Amen.
Greet one another with a kiss of love. Peace to all of you who are in Christ.,Pagpangumostahay kamo sa usa ug usa pinaagi sa halok sa gugma. Ang kalinaw maanaa kaninyong tanan nga anaa kang Cristo.
"Because the Lord had closed Hannah’s womb, her rival kept provoking her in order to irritate her.",Ang iyang kailog naghagit ug nagbiaybiay kaniya aron siya masuko tungod kay ang Ginoo nagtak-op sa iyang taguangkan.
"As she kept on praying to the Lord , Eli observed her mouth.","Samtang nagpadayon siya sa pag-ampo atubangan sa Ginoo, gipanid-an ni Eli ang iyang baba."
"and said to her, “How long are you going to stay drunk? Put away your wine.”","Busa si Eli miingon kaniya, “Hangtod kanus-a ba ikaw mahubog? Isalikway ang bino gikan kanimo.”"
"When the bull had been sacrificed, they brought the boy to Eli,",Unya ilang giihaw ang torong baka ug ilang gidala ang bata ngadto kang Eli.
"I prayed for this child, and the Lord has granted me what I asked of him.",Alang niining bataa ako nag-ampo ug ang Ginoo mihatag kanako sa akong gihangyo kaniya.
“There is no one holy like the Lord ; there is no one besides you; there is no Rock like our God.,"“Walay laing balaan sama sa Ginoo, walay lain gawas kanimo; walay laing bato sama sa atong Dios."
"“The bows of the warriors are broken, but those who stumbled are armed with strength.","Ang mga pana sa mga kusgan nangabali, apan ang mga huyang nalig-on."
The Lord sends poverty and wealth; he humbles and he exalts.,"Ang Ginoo maghimo sa tawo nga kabos ug dato; siya ang mopaubos sa tawo, siya usab ang motuboy."
Eli’s sons were scoundrels; they had no regard for the Lord .,"Ang mga anak nga lalaki ni Eli mga tawong walay kapuslanan, sila walay pagtahod sa Ginoo."
"No, my sons; the report I hear spreading among the Lord ’s people is not good.","Mga anak ko, dili maayo ang balita nga akong nadungog nga mikaylap diha sa katawhan sa Ginoo."
And the boy Samuel continued to grow in stature and in favor with the Lord and with people.,Karon ang bata nga si Samuel nagpadayon sa pagtubo sa gidak-on ug diha sa kahimuot sa Ginoo ug sa mga tawo.
"Then the Lord called Samuel. Samuel answered, “Here I am.”","Unya ang Ginoo mitawag, “Samuel! Samuel!” Ug siya mitubag, “Ania ako.”"
"but Eli called him and said, “Samuel, my son.” Samuel answered, “Here I am.”","Apan si Eli mitawag kang Samuel ug miingon, “Samuel, anak ko.” Ug siya miingon, “Ania ako.”"
"The ark of God was captured, and Eli’s two sons, Hophni and Phinehas, died.",Ug ang sudlanan sa kasabotan sa Dios nailog ug ang duha ka anak ni Eli nga si Hopni ug si Pinehas gipamatay.
who was ninety-eight years old and whose eyes had failed so that he could not see.,"Si Eli 98 na ka tuig ang panuigon ug ang iyang mga mata halap na, mao nga dili na siya makakita."
"She said, “The Glory has departed from Israel, for the ark of God has been captured.”","Siya miingon, “Ang himaya nawala gikan sa Israel tungod kay ang sudlanan sa kasabotan sa Dios nailog.”"
"Those who did not die were afflicted with tumors, and the outcry of the city went up to heaven.","Ang mga tawo nga wala mamatay gikastigo pinaagi ug mga hubag, ug ang pagpakitabang sa siyudad miabot ngadto sa langit ."
"When the ark of the Lord had been in Philistine territory seven months,",Ang sudlanan sa kasabotan sa Ginoo didto sa yuta sa mga Filistihanon sulod sa pito ka bulan.
The five rulers of the Philistines saw all this and then returned that same day to Ekron.,"Sa diha nga ang lima ka pangulo sa mga Filistihanon nakakita niini, namauli sila sa Ekron niadtong adlawa."
"So the Israelites put away their Baals and Ashtoreths, and served the Lord only.","Busa ang Israel misalikway sa mga Baal ug sa Astarot, ug nag-alagad sa Ginoo lamang."
"Then Samuel said, “Assemble all Israel at Mizpah, and I will intercede with the Lord for you.”","Unya si Samuel miingon, “Tigoma ang tibuok Israel didto sa Mispa, ug ako mag-ampo sa Ginoo alang kaninyo.”"
Samuel continued as Israel’s leader all the days of his life.,Ug si Samuel nahimong maghuhukom sa Israel sa tanang mga adlaw sa iyang kinabuhi.
"From year to year he went on a circuit from Bethel to Gilgal to Mizpah, judging Israel in all those places.","Ug siya mag-adtoan matag tuig sa Betel, sa Gilgal ug sa Mispa, ug siya naghukom sa Israel niining mga dapita."
"When Samuel grew old, he appointed his sons as Israel’s leaders.","Unya sa diha nga si Samuel tigulang na, gihimo niya ang iyang mga anak nga lalaki nga mga maghuhukom sa Israel."
"The name of his firstborn was Joel and the name of his second was Abijah, and they served at Beersheba.",Ang ngalan sa iyang kamagulangan mao si Joel ug si Abiha ang ngalan sa ikaduha. Sila mao ang mga maghuhukom sa Beer-seba.
So all the elders of Israel gathered together and came to Samuel at Ramah.,"Unya ang tanang kadagkoan sa Israel nagtigom ug nangadto kang Samuel didto sa Rama,"
Samuel told all the words of the Lord to the people who were asking him for a king.,Busa si Samuel misugilon sa tanang gisulti sa Ginoo ngadto sa katawhan nga nangayo kaniya ug usa ka hari.
He will take your daughters to be perfumers and cooks and bakers.,Siya maghimo sa inyong mga anak nga babaye nga tigbuhat ug pahumot ug tigluto ug tighimo ug pan.
"He will take a tenth of your flocks, and you yourselves will become his slaves.",Siya magkuha ug ikapulo nga bahin sa inyong mga panon sa karnero; ug kamo mahimo niyang mga ulipon.
But the people refused to listen to Samuel. “No!” they said. “We want a king over us.,"Apan ang katawhan nagdumili sa pagpamati sa tingog ni Samuel ug sila miingon, “Dili! Kinahanglan nga adunay hari ibabaw kanamo,"
"When Samuel heard all that the people said, he repeated it before the Lord .","Human mabati ni Samuel ang mga pulong sa katawhan, iya kining gisugilon pag-usab sa mga igdulungog sa Ginoo."
"Now the day before Saul came, the Lord had revealed this to Samuel:","Sa adlaw nga wala pa moabot si Saul, ang Ginoo mipadayag ngadto kang Samuel,"
"They will greet you and offer you two loaves of bread, which you will accept from them.",Sila moyukbo kanimo ug mohatag kanimo ug duha ka buok pan nga imong dawaton gikan sa ilang kamot.
"After Saul stopped prophesying, he went to the high place.","Sa pagkahuman niya ug propesiya, miadto siya sa habog nga dapit."
"Saul’s uncle said, “Tell me what Samuel said to you.”","Ug ang uyoan ni Saul miingon, “Suginli ako unsay gisulti ni Samuel kanimo.”"
Samuel summoned the people of Israel to the Lord at Mizpah,Unya gipatawag ni Samuel ang katawhan ngadto sa Ginoo didto sa Mispa.
"When Samuel had all Israel come forward by tribes, the tribe of Benjamin was taken by lot.","Unya gipaduol ni Samuel ang tanang banay sa Israel, ug ang banay ni Benjamin ang napili pinaagi sa ripa."
"When Saul mustered them at Bezek, the men of Israel numbered three hundred thousand and those of Judah thirty thousand.","Unya sa dihang giihap niya sila didto sa Besek, 300,000 ang mga tawo sa Israel ug 30,000 ang mga tawo sa Juda."
"But Saul said, “No one will be put to death today, for this day the Lord has rescued Israel.”","Apan si Saul miingon, “Walay usa ka tawo nga patyon niining adlawa kay karong adlawa ang Ginoo naghimo ug kaluwasan sa Israel.”"
"“You have not cheated or oppressed us,” they replied. “You have not taken anything from anyone’s hand.”","Sila miingon, “Wala ikaw maglimbong kanamo o magdaogdaog o magdawat ug bisan unsa gikan sa kamot ni bisan kinsang tawo.”"
"“Now then, stand still and see this great thing the Lord is about to do before your eyes!",Busa karon tindog kamo sa walay lihok ug tan-awa kining dakong butang nga buhaton sa Ginoo sa atubangan sa inyong mga mata.
"Yet if you persist in doing evil, both you and your king will perish.”","Apan kon magpadayon kamo sa pagbuhat ug daotan, mangamatay kamo ug ang inyong hari.”"
Now a detachment of Philistines had gone out to the pass at Mikmash.,Ug ang panon sa mga sundalo nga nagbantay sa kuta sa mga Filistihanon miadto sa agianan sa Mikmas.
"One cliff stood to the north toward Mikmash, the other to the south toward Geba.",Ang usa ka pangpang mituybo dapit sa amihanan atbang sa Mikmas ug ang usa sa habagatan atbang sa Geba.
"So on that day the Lord saved Israel, and the battle moved on beyond Beth Aven.",Busa ang Ginoo nagluwas sa Israel niadtong adlawa ug ang gubat misaylo sa Bet-aben.
"The entire army entered the woods, and there was honey on the ground.",Ang tibuok katawhan miadto sa lasang ug may dugos didto sa yuta.
Then Saul built an altar to the Lord ; it was the first time he had done this.,Ug si Saul naghimo ug usa ka halaran sa Ginoo ug mao kadto ang unang halaran nga iyang gitukod alang sa Ginoo.
"Saul said, “Cast the lot between me and Jonathan my son.” And Jonathan was taken.","Busa si Saul miingon, “Himoa ang ripa tali kanako ug sa akong anak nga si Jonatan.” Ug si Jonatan ang natumngan."
"Saul said, “May God deal with me, be it ever so severely, if you do not die, Jonathan.”","Ug si Saul miingon, “Ang Dios maghimo niana kanako ug labaw pa, ikaw mamatay gayod, Jonatan.”"
"Then Saul stopped pursuing the Philistines, and they withdrew to their own land.","Busa si Saul mihunong sa paggukod sa mga Filistihanon, ug ang mga Filistihanon nangadto sa ilang kaugalingong dapit."
Saul’s father Kish and Abner’s father Ner were sons of Abiel.,"Si Kis mao ang amahan ni Saul, ug si Ner nga amahan ni Abner ang anak ni Abiel."
Saul went to the city of Amalek and set an ambush in the ravine.,Ug si Saul miadto sa siyudad ni Amalek ug nag-atang didto sa walog.
"Then Saul attacked the Amalekites all the way from Havilah to Shur, near the eastern border of Egypt.","Nabuntog ni Saul ang mga Amalekanhon, gikan sa Havila hangtod sa Sur nga silangan sa Ehipto."
Then the word of the Lord came to Samuel:,"Unya ang pulong sa Ginoo midangat kang Samuel,"
"As Samuel turned to leave, Saul caught hold of the hem of his robe, and it tore.","Sa dihang molakaw na unta si Samuel, gikuptan ni Saul ang sidsid sa iyang bisti ug nagisi kini."
"So Samuel went back with Saul, and Saul worshiped the Lord .","Busa si Samuel mibalik uban kang Saul, ug si Saul misimba sa Ginoo."
"Then Samuel left for Ramah, but Saul went up to his home in Gibeah of Saul.",Unya si Samuel miadto sa Rama ug si Saul mitungas ngadto sa iyang balay didto sa Gibea ni Saul.
"Jesse then had Shammah pass by, but Samuel said, “Nor has the Lord chosen this one.”","Unya gipaagi ni Jesse si Samma. Ug siya miingon, “Wala usab magpili niini ang Ginoo. ”"
"Now the Spirit of the Lord had departed from Saul, and an evil spirit from the Lord tormented him.",Unya ang Espiritu sa Ginoo mibulag gikan kang Saul ug usa ka daotan nga espiritu gikan sa Ginoo nagsakit kaniya.
"Saul’s attendants said to him, “See, an evil spirit from God is tormenting you.","Ug ang mga sulugoon ni Saul miingon kaniya, “Tan-awa karon, usa ka daotang espiritu gikan sa Dios nagsakit kanimo."
"on his legs he wore bronze greaves, and a bronze javelin was slung on his back.",Siya may salipod nga bronsi sa iyang mga bitiis ug usa ka bangkaw nga bronsi nga gikabiba taliwala sa iyang mga abaga.
"On hearing the Philistine’s words, Saul and all the Israelites were dismayed and terrified.","Sa diha nga si Saul ug ang tibuok nga Israel nakadungog sa mga pulong sa Filistihanon, nangaluya sila ug nangahadlok pag-ayo."
"David was the youngest. The three oldest followed Saul,","Si David mao ang kamanghoran ug ang tulo ka magulang misunod kang Saul,"
but David went back and forth from Saul to tend his father’s sheep at Bethlehem.,apan si David nagngadto-nganhi kang Saul aron sa pagpakaon sa mga karnero sa iyang amahan didto sa Betlehem.
For forty days the Philistine came forward every morning and evening and took his stand.,"Sulod sa 40 ka adlaw ang Filistihanon nagpaduol ug nagpakita sa iyang kaugalingon, buntag ug hapon,"
Israel and the Philistines were drawing up their lines facing each other.,"Ang Israel ug ang mga Filistihanon naghan-ay alang sa gubat, kasundalohan batok kasundalohan."
"Whenever the Israelites saw the man, they all fled from him in great fear.","Ang tanang katawhan sa Israel, sa diha nga nakakita sila sa tawo, nanagan gikan kaniya ug nangahadlok sa hilabihan gayod."
"They repeated to him what they had been saying and told him, “This is what will be done for the man who kills him.”","Ug ang katawhan mitubag kaniya sa samang paagi, “Kini buhaton ngadto sa tawo nga makapatay kaniya.”"
“Now what have I done?” said David. “Can’t I even speak?”,"Ug si David miingon, “Unsa may akong nabuhat karon? Dili ba sulti lamang kini?”"
"What David said was overheard and reported to Saul, and Saul sent for him.","Sa diha nga nadungog ang mga pulong nga gipamulong ni David, ilang gisubli kini sa atubangan ni Saul ug iyang gipakuha siya."
"Meanwhile, the Philistine, with his shield bearer in front of him, kept coming closer to David.","Ang Filistihanon miabot ug mipaduol kang David, uban ang tawo nga nagdala sa taming nga nag-una kaniya."
"The king said, “Find out whose son this young man is.”","Ug ang hari miingon, “Pagpakisayod kang kinsang anak ang batan-on.”"
From that day Saul kept David with him and did not let him return home to his family.,Gikuha siya ni Saul niadtong adlawa ug wala na motugot nga mopauli pa siya sa balay sa iyang amahan.
And Jonathan made a covenant with David because he loved him as himself.,Unya si Jonatan naghimo ug usa ka kasabotan uban kang David tungod kay gihigugma niya siya sama sa iyang kaugalingong kalag.
And from that time on Saul kept a close eye on David.,Sukad niadtong adlawa gipanid-an ni Saul si David.
"Saul was afraid of David, because the Lord was with David but had departed from Saul.",Si Saul nahadlok kang David tungod kay ang Ginoo nag-uban kaniya ug mibiya gikan kang Saul.
"In everything he did he had great success, because the Lord was with him.",Si David nagmalamposon sa tanan niyang gibuhat kay ang Ginoo nag-uban man kaniya.
"When Saul saw how successful he was, he was afraid of him.","Unya sa dihang nakita ni Saul nga nagmalamposon si David, siya mitindog nga may kahadlok kaniya."
"But all Israel and Judah loved David, because he led them in their campaigns.",Apan ang tibuok nga Israel ug Juda nahigugma kang David kay siya migula ug mibalik sa ilang atubangan.
"Now Saul’s daughter Michal was in love with David, and when they told Saul about it, he was pleased.","Si Mical nga anak nga babaye ni Saul nahigugma kang David, ug ilang gisuginlan si Saul ug ang maong butang nakalipay kaniya."
"When Saul’s servants told him what David had said,","Ug ang mga sulugoon ni Saul misugilon kaniya, “Niining paagiha nagsulti si David.”"
"When Saul realized that the Lord was with David and that his daughter Michal loved David,","Apan sa dihang nakita ug nahibaloan ni Saul nga ang Ginoo nag-uban kang David ug si Mical nga anak ni Saul nahigugma kaniya,"
"Saul became still more afraid of him, and he remained his enemy the rest of his days.",si Saul misamot pagkahadlok kang David. Busa si Saul nagpabilin nga kaaway ni David sa kanunay.
"Saul listened to Jonathan and took this oath: “As surely as the Lord lives, David will not be put to death.”","Si Saul namati sa tingog ni Jonatan ug si Saul nanumpa, “Ingon nga ang Ginoo buhi, siya dili patyon.”"
"So Michal let David down through a window, and he fled and escaped.",Busa gitunton ni Mical si David sa bintana ug siya mipalayo ug miikyas.
"When Saul sent the men to capture David, Michal said, “He is ill.”","Ug sa diha nga si Saul nagpadala ug mga sinugo aron sa pagkuha kang David, si Michal miingon, “Siya nasakit.”"
"But when the men entered, there was the idol in the bed, and at the head was some goats’ hair.","Ug sa pagsulod sa mga sinugo, nakita nila ang larawan diha sa higdaanan uban ang unlan nga balhibo sa kanding dapit sa ulo."
Word came to Saul: “David is in Naioth at Ramah”;,"Ug kini gisugilon kang Saul, “Tan-awa, si David atua sa Naiot sa Rama.”"
"Jonathan said to David, “Whatever you want me to do, I’ll do for you.”","Unya si Jonatan miingon kang David, “Bisan unsay imong isulti, buhaton ko kini alang kanimo.”"
"David asked, “Who will tell me if your father answers you harshly?”","Unya si David miingon kang Jonatan, “Kinsay mosugilon kanako kon singkahan ikaw sa imong amahan sa pagtubag?”"
"“Come,” Jonathan said, “let’s go out into the field.” So they went there together.","Ug si Jonatan miingon kang David, “Dali, mangadto kita sa kapatagan.” Busa silang duha nangadto sa kapatagan."
"But show me unfailing kindness like the Lord ’s kindness as long as I live, so that I may not be killed,","Unya kon ako buhi pa, ipakita kanako ang matinud-anong gugma sa Ginoo aron ako dili mamatay."
"So Jonathan made a covenant with the house of David, saying, “May the Lord call David’s enemies to account.”","Busa si Jonatan naghimo ug kasabotan uban sa balay ni David, “Ang Ginoo manimalos unta sa mga kaway ni David.”"
"I will shoot three arrows to the side of it, as though I were shooting at a target.","Ug ipana nako ang tulo ka udyong sa daplin niini, sama nga nagpana ako ug usa ka ig-onon."
"And about the matter you and I discussed—remember, the Lord is witness between you and me forever.”","Ug mahitungod sa mga butang nga gisabotan nimo ug nako, ang Ginoo anaa sa taliwala kanimo ug kanako hangtod sa kahangtoran.”"
"So David hid in the field, and when the New Moon feast came, the king sat down to eat.","Busa si David mitago didto sa kapatagan ug sa diha nga miabot na ang bag-ong subang sa bulan, ang hari milingkod aron mokaon."
"Jonathan answered, “David earnestly asked me for permission to go to Bethlehem.","Ug mitubag si Jonatan kang Saul, “Si David mihangyo pag-ayo kanako nga moadto siya sa Betlehem."
“Why should he be put to death? What has he done?” Jonathan asked his father.,"Unya si Jonatan mitubag kang Saul nga iyang amahan, “Nganong patyon man siya? Unsay iyang nabuhat?”"
(The boy knew nothing about all this; only Jonathan and David knew.),"Apan ang bata walay nasayran, si Jonatan lamang ug si David ang nasayod sa maong butang."
"Then Jonathan gave his weapons to the boy and said, “Go, carry them back to town.”","Ug gihatag ni Jonatan ang iyang mga hinagiban ngadto sa bata niya, ug miingon kaniya, “Lakaw ug dad-a kini ngadto sa siyudad.”"
"Now then, what do you have on hand? Give me five loaves of bread, or whatever you can find.”",Busa karon unsay anaa sa imong kamot? Hatagi ako ug lima ka buok pan o bisan unsa nga anaa.”
That day David fled from Saul and went to Achish king of Gath.,"Unya si David mitindog ug mipalayo niadtong adlawa gikan kang Saul, ug miadto kang Akis nga hari sa Gat."
David took these words to heart and was very much afraid of Achish king of Gath.,"Ug gitipigan ni David kining mga pulonga sa iyang kasingkasing, ug nahadlok siya pag-ayo kang Akis nga hari sa Gat."
"Saul said, “Listen now, son of Ahitub.” “Yes, my lord,” he answered.","Ug si Saul miingon, “Pamati karon, anak ni Ahitub.” Ug siya mitubag, “Ania ako, akong agalon.”"
"But the king said, “You will surely die, Ahimelek, you and your whole family.”","Ang hari miingon, “Ikaw mamatay gayod, Ahimelek, ikaw ug ang tibuok panimalay sa imong amahan.”"
"But one son of Ahimelek son of Ahitub, named Abiathar, escaped and fled to join David.","Apan usa sa mga anak ni Ahimelek nga anak ni Ahitub, nga ginganlan ug Abiatar, nakaikyas ug mikagiw sunod kang David."
He told David that Saul had killed the priests of the Lord .,Ug gisuginlan ni Abiatar si David nga gipamatay ni Saul ang mga pari sa Ginoo.
"While David was at Horesh in the Desert of Ziph, he learned that Saul had come out to take his life.",Nakita ni David nga si Saul migula aron sa pagpatay kaniya. Si David didto sa Kamingawan sa Zif sa Hores.
And Saul’s son Jonathan went to David at Horesh and helped him find strength in God.,Ug si Jonatan nga anak ni Saul mitindog ug miadto kang David sa Hores ug nagpalig-on sa iyang kamot diha sa Dios.
"The two of them made a covenant before the Lord . Then Jonathan went home, but David remained at Horesh.","Unya silang duha naghimo ug kasabotan sa atubangan sa Ginoo, ug si David nagpabilin sa Hores ug si Jonatan mipauli."
"Saul replied, “The Lord bless you for your concern for me.","Ug si Saul miingon, “Panalanginan unta kamo sa Ginoo kay kamo naluoy kanako."
And David went up from there and lived in the strongholds of En Gedi.,Ug si David mibiya gikan didto ug mipayo sa mga kuta sa En-gedi.
"Afterward, David was conscience-stricken for having cut off a corner of his robe.","Ug human kini mahitabo, ang kasingkasing ni David daw misakit kaniya tungod kay iyang gitabasan ang sidsid sa bisti ni Saul."
“Against whom has the king of Israel come out? Who are you pursuing? A dead dog? A flea?,Kinsa bay hinungdan sa paggula sa hari sa Israel? Kinsa ba ang imong gigukod? Usa ka iro nga patay! Usa ka pulgas!
I know that you will surely be king and that the kingdom of Israel will be established in your hands.,Ug karon ako nahibalo nga ikaw sa walay duhaduha mahimong hari ug nga ang gingharian sa Israel malig-on diha sa imong kamot.
"While David was in the wilderness, he heard that Nabal was shearing sheep.",Si David nakadungog didto sa kamingawan nga si Nabal nagtupi sa iyang mga karnero.
"David’s men turned around and went back. When they arrived, they reported every word.",Busa ang mga batan-ong lalaki ni David mitalikod ug mibalik ug misugilon kaniya sa tanan.
Night and day they were a wall around us the whole time we were herding our sheep near them.,"Sila mao ang bungbong namo sa adlaw ug sa gabii, sa tanang higayon nga kami diha uban kanila nga nagbantay sa mga karnero."
"About ten days later, the Lord struck Nabal and he died.","Ug human molabay ang napulo ka adlaw, si Nabal gihampak sa Ginoo ug siya namatay."
"David had also married Ahinoam of Jezreel, and they both were his wives.","Si David nangasawa usab kang Ahinoam sa Jesreel, ug silang duha nahimo niyang mga asawa."
he sent out scouts and learned that Saul had definitely arrived.,si David nagpadala ug mga tigpaniid ug nakahibalo nga si Saul tinuod gayod nga miabot.
